phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
63,64,-1,79.34326171875,79.34326171875
64,64,0,79.27734375,79.27734375
63,64,-1,79.16748046875,79.16748046875
63,64,-1,79.07958984375,79.07958984375
66,64,2,79.07958984375,79.07958984375
66,64,2,78.99169921875,78.99169921875
66,64,2,78.90380859375,78.90380859375
68,64,4,78.85986328125,78.85986328125
68,64,4,78.77197265625,78.77197265625
69,64,5,78.7060546875,78.7060546875
67,64,3,78.59619140625,78.59619140625
68,64,4,78.5302734375,78.5302734375
71,64,7,78.50830078125,78.50830078125
71,64,7,78.42041015625,78.42041015625
72,64,8,78.3544921875,78.3544921875
76,64,12,78.37646484375,78.37646484375
74,64,10,78.24462890625,78.24462890625
79,64,15,78.2666015625,78.2666015625
79,64,15,78.1787109375,78.1787109375
80,64,16,78.11279296875,78.11279296875
81,64,17,78.046875,78.046875
82,64,18,77.98095703125,77.98095703125
85,64,21,77.98095703125,77.98095703125
91,64,27,78.02490234375,78.02490234375
91,64,27,77.93701171875,77.93701171875
94,64,30,77.9150390625,77.9150390625
93,64,29,77.80517578125,77.80517578125
91,64,27,77.67333984375,77.67333984375
90,64,26,77.58544921875,77.58544921875
87,64,23,77.431640625,77.431640625
89,64,25,77.3876953125,77.3876953125
87,64,23,77.255859375,77.255859375
84,64,20,77.10205078125,77.10205078125
82,64,18,76.97021484375,76.97021484375
80,64,16,76.83837890625,76.83837890625
79,64,15,76.728515625,76.728515625
79,64,15,76.640625,76.640625
76,64,12,76.48681640625,76.48681640625
75,64,11,76.39892578125,76.39892578125
72,64,8,76.2451171875,76.2451171875
69,64,5,76.09130859375,76.09130859375
69,64,5,76.00341796875,76.00341796875
65,64,1,75.82763671875,75.82763671875
63,64,-1,75.69580078125,75.69580078125
61,64,-3,75.56396484375,75.56396484375
59,64,-5,75.43212890625,75.43212890625
56,64,-8,75.2783203125,75.2783203125
55,64,-9,75.16845703125,75.16845703125
54,64,-10,75.05859375,75.05859375
50,64,-14,74.90478515625,74.90478515625
49,64,-15,74.794921875,74.794921875
49,64,-15,74.70703125,74.70703125
54,64,-10,74.72900390625,74.72900390625
53,64,-11,74.619140625,74.619140625
54,64,-10,74.55322265625,74.55322265625
58,64,-6,74.55322265625,74.55322265625
61,64,-3,74.55322265625,74.55322265625
63,64,-1,74.50927734375,74.50927734375
63,64,-1,74.42138671875,74.42138671875
64,64,0,74.35546875,74.35546875
67,64,3,74.33349609375,74.33349609375
64,64,0,74.1796875,74.1796875
64,64,0,74.091796875,74.091796875
64,64,0,74.00390625,74.00390625
61,64,-3,73.85009765625,73.85009765625
60,64,-4,73.740234375,73.740234375
63,64,-1,73.740234375,73.740234375
64,64,0,73.67431640625,73.67431640625
63,64,-1,73.564453125,73.564453125
62,64,-2,73.45458984375,73.45458984375
67,64,3,73.4765625,73.4765625
65,64,1,73.3447265625,73.3447265625
66,64,2,73.27880859375,73.27880859375
69,64,5,73.2568359375,73.2568359375
66,64,2,73.10302734375,73.10302734375
65,64,1,72.9931640625,72.9931640625
65,64,1,72.92724609375,72.92724609375
61,64,-3,72.75146484375,72.75146484375
61,64,-3,72.66357421875,72.66357421875
60,64,-4,72.5537109375,72.5537109375
61,64,-3,72.48779296875,72.48779296875
65,64,1,72.48779296875,72.48779296875
65,64,1,72.39990234375,72.39990234375
63,64,-1,72.26806640625,72.26806640625
67,64,3,72.26806640625,72.26806640625
67,64,3,72.2021484375,72.2021484375
66,64,2,72.09228515625,72.09228515625
68,64,4,72.04833984375,72.04833984375
73,64,9,72.0703125,72.0703125
78,64,14,72.09228515625,72.09228515625
79,64,15,72.0263671875,72.0263671875
82,64,18,72.00439453125,72.00439453125
79,64,15,71.87255859375,71.87255859375
81,64,17,71.82861328125,71.82861328125
78,64,14,71.6748046875,71.6748046875
77,64,13,71.56494140625,71.56494140625
77,64,13,71.47705078125,71.47705078125
78,64,14,71.4111328125,71.4111328125
76,64,12,71.279296875,71.279296875
73,64,9,71.12548828125,71.12548828125
71,64,7,70.99365234375,70.99365234375
70,64,6,70.8837890625,70.8837890625
67,64,3,70.751953125,70.751953125
67,64,3,70.6640625,70.6640625
65,64,1,70.5322265625,70.5322265625
65,64,1,70.4443359375,70.4443359375
64,64,0,70.33447265625,70.33447265625
64,64,0,70.24658203125,70.24658203125
63,64,-1,70.13671875,70.13671875
59,64,-5,69.9609375,69.9609375
58,64,-6,69.85107421875,69.85107421875
56,64,-8,69.7412109375,69.7412109375
53,64,-11,69.58740234375,69.58740234375
55,64,-9,69.54345703125,69.54345703125
54,64,-10,69.43359375,69.43359375
54,64,-10,69.345703125,69.345703125
51,64,-13,69.19189453125,69.19189453125
54,64,-10,69.169921875,69.169921875
52,64,-12,69.0380859375,69.0380859375
52,64,-12,68.97216796875,68.97216796875
54,64,-10,68.92822265625,68.92822265625
56,64,-8,68.88427734375,68.88427734375
62,64,-2,68.92822265625,68.92822265625
63,64,-1,68.8623046875,68.8623046875
63,64,-1,68.79638671875,68.79638671875
65,64,1,68.75244140625,68.75244140625
68,64,4,68.73046875,68.73046875
67,64,3,68.62060546875,68.62060546875
71,64,7,68.62060546875,68.62060546875
64,64,0,68.37890625,68.37890625
62,64,-2,68.2470703125,68.2470703125
59,64,-5,68.115234375,68.115234375
57,64,-7,67.9833984375,67.9833984375
60,64,-4,67.96142578125,67.96142578125
63,64,-1,67.939453125,67.939453125
60,64,-4,67.78564453125,67.78564453125
61,64,-3,67.7197265625,67.7197265625
58,64,-6,67.56591796875,67.56591796875
55,60,-5,67.412109375,67.412109375
54,60,-6,67.30224609375,67.30224609375
57,60,-3,67.30224609375,67.30224609375
55,60,-5,67.17041015625,67.17041015625
56,60,-4,67.1044921875,67.1044921875
53,60,-7,66.95068359375,66.95068359375
52,60,-8,66.8408203125,66.8408203125
51,60,-9,66.73095703125,66.73095703125
52,60,-8,66.6650390625,66.6650390625
50,60,-10,66.533203125,66.533203125
47,60,-13,66.4013671875,66.4013671875
46,60,-14,66.29150390625,66.29150390625
47,60,-13,66.2255859375,66.2255859375
46,60,-14,66.11572265625,66.11572265625
45,60,-15,66.005859375,66.005859375
43,60,-17,65.8740234375,65.8740234375
48,60,-12,65.91796875,65.91796875
51,60,-9,65.89599609375,65.89599609375
54,60,-6,65.8740234375,65.8740234375
56,60,-4,65.830078125,65.830078125
57,60,-3,65.76416015625,65.76416015625
55,60,-5,65.654296875,65.654296875
59,60,-1,65.654296875,65.654296875
57,60,-3,65.5224609375,65.5224609375
56,60,-4,65.41259765625,65.41259765625
55,60,-5,65.302734375,65.302734375
52,60,-8,65.14892578125,65.14892578125
50,60,-10,65.01708984375,65.01708984375
