phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-77,-80,3,261.23291015625,261.23291015625
-77,-80,3,261.1669921875,261.1669921875
-78,-80,2,261.05712890625,261.05712890625
-78,-80,2,260.96923828125,260.96923828125
-83,-80,-3,260.771484375,260.771484375
-84,-80,-4,260.66162109375,260.66162109375
-84,-80,-4,260.57373046875,260.57373046875
-81,-80,-1,260.57373046875,260.57373046875
-80,-80,0,260.5078125,260.5078125
-80,-80,0,260.419921875,260.419921875
-77,-80,3,260.39794921875,260.39794921875
-75,-80,5,260.35400390625,260.35400390625
-70,-80,10,260.39794921875,260.39794921875
-68,-80,12,260.35400390625,260.35400390625
-66,-80,14,260.31005859375,260.31005859375
-59,-80,21,260.3759765625,260.3759765625
-55,-80,25,260.39794921875,260.39794921875
-50,-80,30,260.419921875,260.419921875
-50,-80,30,260.33203125,260.33203125
-52,-80,28,260.2001953125,260.2001953125
-50,-80,30,260.15625,260.15625
-49,-80,31,260.1123046875,260.1123046875
-48,-80,32,260.04638671875,260.04638671875
-47,-80,33,259.98046875,259.98046875
-47,-80,33,259.892578125,259.892578125
-49,-80,31,259.7607421875,259.7607421875
-47,-80,33,259.716796875,259.716796875
-49,-80,31,259.60693359375,259.60693359375
-51,-80,29,259.47509765625,259.47509765625
-50,-80,30,259.4091796875,259.4091796875
-52,-80,28,259.27734375,259.27734375
-53,-80,27,259.16748046875,259.16748046875
-58,-80,22,258.9697265625,258.9697265625
-63,-80,17,258.7939453125,258.7939453125
-64,-76,12,258.68408203125,258.68408203125
-67,-76,9,258.5302734375,258.5302734375
-68,-76,8,258.42041015625,258.42041015625
-72,-76,4,258.24462890625,258.24462890625
-72,-76,4,258.15673828125,258.15673828125
-78,-76,-2,257.958984375,257.958984375
-81,-76,-5,257.80517578125,257.80517578125
-80,-76,-4,257.7392578125,257.7392578125
-85,-76,-9,257.54150390625,257.54150390625
-86,-76,-10,257.431640625,257.431640625
-84,-76,-8,257.3876953125,257.3876953125
-83,-76,-7,257.34375,257.34375
-83,-76,-7,257.255859375,257.255859375
-83,-76,-7,257.16796875,257.16796875
-77,-76,-1,257.2119140625,257.2119140625
-76,-76,0,257.16796875,257.16796875
-73,-76,3,257.14599609375,257.14599609375
-72,-76,4,257.080078125,257.080078125
-73,-76,3,256.97021484375,256.97021484375
-75,-76,1,256.83837890625,256.83837890625
-74,-76,2,256.7724609375,256.7724609375
-77,-76,-1,256.61865234375,256.61865234375
-79,-76,-3,256.5087890625,256.5087890625
-78,-76,-2,256.44287109375,256.44287109375
-76,-76,0,256.39892578125,256.39892578125
-78,-76,-2,256.26708984375,256.26708984375
-76,-76,0,256.22314453125,256.22314453125
-76,-76,0,256.13525390625,256.13525390625
-76,-76,0,256.04736328125,256.04736328125
-79,-72,-7,255.8935546875,255.8935546875
-79,-72,-7,255.82763671875,255.82763671875
-81,-72,-9,255.69580078125,255.69580078125
-84,-72,-12,255.5419921875,255.5419921875
-83,-72,-11,255.47607421875,255.47607421875
-87,-72,-15,255.30029296875,255.30029296875
-87,-72,-15,255.21240234375,255.21240234375
-90,-72,-18,255.08056640625,255.08056640625
-92,-72,-20,254.94873046875,254.94873046875
-93,-72,-21,254.8388671875,254.8388671875
-94,-72,-22,254.72900390625,254.72900390625
-96,-72,-24,254.59716796875,254.59716796875
-95,-72,-23,254.53125,254.53125
-96,-72,-24,254.443359375,254.443359375
-95,-72,-23,254.37744140625,254.37744140625
-92,-72,-20,254.35546875,254.35546875
-94,-72,-22,254.2236328125,254.2236328125
-91,-72,-19,254.20166015625,254.20166015625
-87,-72,-15,254.20166015625,254.20166015625
-80,-72,-8,254.28955078125,254.28955078125
-77,-72,-5,254.267578125,254.267578125
-74,-72,-2,254.24560546875,254.24560546875
-71,-72,1,254.2236328125,254.2236328125
-71,-72,1,254.1357421875,254.1357421875
-70,-72,2,254.091796875,254.091796875
-71,-72,1,253.98193359375,253.98193359375
-69,-72,3,253.93798828125,253.93798828125
-69,-72,3,253.85009765625,253.85009765625
-66,-72,6,253.828125,253.828125
-67,-72,5,253.71826171875,253.71826171875
-64,-72,8,253.6962890625,253.6962890625
-63,-72,9,253.63037109375,253.63037109375
-65,-72,7,253.5205078125,253.5205078125
-66,-72,6,253.41064453125,253.41064453125
-66,-72,6,253.32275390625,253.32275390625
-67,-72,5,253.212890625,253.212890625
-71,-68,-3,253.037109375,253.037109375
-73,-68,-5,252.9052734375,252.9052734375
-71,-68,-3,252.861328125,252.861328125
-76,-68,-8,252.66357421875,252.66357421875
-77,-68,-9,252.5537109375,252.5537109375
-81,-68,-13,252.39990234375,252.39990234375
-80,-68,-12,252.333984375,252.333984375
-83,-68,-15,252.18017578125,252.18017578125
-85,-68,-17,252.04833984375,252.04833984375
-89,-68,-21,251.87255859375,251.87255859375
-93,-68,-25,251.69677734375,251.69677734375
-91,-68,-23,251.65283203125,251.65283203125
-92,-68,-24,251.54296875,251.54296875
-89,-68,-21,251.52099609375,251.52099609375
-90,-68,-22,251.43310546875,251.43310546875
-90,-68,-22,251.34521484375,251.34521484375
-84,-68,-16,251.38916015625,251.38916015625
-82,-68,-14,251.34521484375,251.34521484375
-79,-68,-11,251.3232421875,251.3232421875
-81,-68,-13,251.19140625,251.19140625
-77,-68,-9,251.19140625,251.19140625
-78,-68,-10,251.103515625,251.103515625
-76,-68,-8,251.0595703125,251.0595703125
-80,-68,-12,250.8837890625,250.8837890625
-79,-68,-11,250.81787109375,250.81787109375
-76,-68,-8,250.7958984375,250.7958984375
-77,-68,-9,250.68603515625,250.68603515625
-77,-68,-9,250.59814453125,250.59814453125
-75,-68,-7,250.55419921875,250.55419921875
-75,-68,-7,250.46630859375,250.46630859375
-75,-68,-7,250.400390625,250.400390625
-74,-68,-6,250.33447265625,250.33447265625
-75,-64,-11,250.224609375,250.224609375
-72,-64,-8,250.20263671875,250.20263671875
-74,-64,-10,250.07080078125,250.07080078125
-74,-64,-10,249.98291015625,249.98291015625
-74,-64,-10,249.89501953125,249.89501953125
-79,-64,-15,249.71923828125,249.71923828125
-76,-64,-12,249.697265625,249.697265625
-77,-64,-13,249.58740234375,249.58740234375
-79,-64,-15,249.45556640625,249.45556640625
-81,-64,-17,249.32373046875,249.32373046875
-82,-64,-18,249.2138671875,249.2138671875
-82,-64,-18,249.14794921875,249.14794921875
-82,-64,-18,249.06005859375,249.06005859375
-80,-64,-16,249.01611328125,249.01611328125
-82,-64,-18,248.88427734375,248.88427734375
-79,-64,-15,248.8623046875,248.8623046875
-75,-64,-11,248.8623046875,248.8623046875
-73,-64,-9,248.84033203125,248.84033203125
-69,-64,-5,248.84033203125,248.84033203125
-63,-64,1,248.88427734375,248.88427734375
-61,-64,3,248.84033203125,248.84033203125
-57,-64,7,248.84033203125,248.84033203125
-54,-64,10,248.818359375,248.818359375
-56,-64,8,248.70849609375,248.70849609375
-54,-64,10,248.66455078125,248.66455078125
-56,-64,8,248.53271484375,248.53271484375
-53,-64,11,248.5107421875,248.5107421875
-51,-64,13,248.466796875,248.466796875
-51,-64,13,248.37890625,248.37890625
-49,-64,15,248.3349609375,248.3349609375
-48,-64,16,248.26904296875,248.26904296875
-48,-64,16,248.203125,248.203125
-46,-64,18,248.1591796875,248.1591796875
-45,-64,19,248.09326171875,248.09326171875
-47,-64,17,247.96142578125,247.96142578125
-47,-64,17,247.87353515625,247.87353515625
-50,-64,14,247.7197265625,247.7197265625
-51,-64,13,247.60986328125,247.60986328125
-52,-64,12,247.52197265625,247.52197265625
-53,-64,11,247.412109375,247.412109375
-56,-64,8,247.25830078125,247.25830078125
-55,-64,9,247.1923828125,247.1923828125
-58,-64,6,247.03857421875,247.03857421875
-61,-64,3,246.884765625,246.884765625
-62,-64,2,246.77490234375,246.77490234375
-63,-64,1,246.68701171875,246.68701171875
-64,-64,0,246.5771484375,246.5771484375
-64,-64,0,246.4892578125,246.4892578125
-68,-64,-4,246.3134765625,246.3134765625
-65,-64,-1,246.29150390625,246.29150390625
-64,-64,0,246.24755859375,246.24755859375
-61,-64,3,246.2255859375,246.2255859375
-61,-64,3,246.1376953125,246.1376953125
-59,-64,5,246.09375,246.09375
-61,-64,3,245.9619140625,245.9619140625
-57,-64,7,245.9619140625,245.9619140625
-58,-64,6,245.8740234375,245.8740234375
-55,-64,9,245.85205078125,245.85205078125
-54,-64,10,245.7861328125,245.7861328125
-57,-64,7,245.63232421875,245.63232421875
-60,-64,4,245.478515625,245.478515625
-60,-64,4,245.390625,245.390625
-54,-64,10,245.4345703125,245.4345703125
-55,-64,9,245.3466796875,245.3466796875
-52,-64,12,245.32470703125,245.32470703125
-52,-64,12,245.23681640625,245.23681640625
-49,-64,15,245.21484375,245.21484375
-49,-64,15,245.126953125,245.126953125
-47,-64,17,245.10498046875,245.10498046875
-44,-64,20,245.0830078125,245.0830078125
-47,-64,17,244.92919921875,244.92919921875
-46,-64,18,244.86328125,244.86328125
-44,-64,20,244.8193359375,244.8193359375
-46,-64,18,244.6875,244.6875
-48,-64,16,244.57763671875,244.57763671875
-47,-64,17,244.51171875,244.51171875
-48,-64,16,244.40185546875,244.40185546875
-51,-64,13,244.248046875,244.248046875
-48,-64,16,244.22607421875,244.22607421875
-50,-64,14,244.1162109375,244.1162109375
-46,-64,18,244.1162109375,244.1162109375
-46,-64,18,244.0283203125,244.0283203125
-46,-64,18,243.9404296875,243.9404296875
-43,-64,21,243.9404296875,243.9404296875
-37,-64,27,243.984375,243.984375
-34,-64,30,243.96240234375,243.96240234375
-28,-64,36,244.00634765625,244.00634765625
-29,-64,35,243.91845703125,243.91845703125
-27,-64,37,243.87451171875,243.87451171875
-24,-64,40,243.8525390625,243.8525390625
-22,-64,42,243.80859375,243.80859375
-17,-64,47,243.83056640625,243.83056640625
-18,-64,46,243.720703125,243.720703125
-17,-64,47,243.6767578125,243.6767578125
-15,-64,49,243.6328125,243.6328125
-19,-64,45,243.45703125,243.45703125
-13,-64,51,243.5009765625,243.5009765625
-14,-64,50,243.39111328125,243.39111328125
-14,-64,50,243.30322265625,243.30322265625
-12,-64,52,243.25927734375,243.25927734375
-15,-64,49,243.12744140625,243.12744140625
-11,-64,53,243.12744140625,243.12744140625
-13,-64,51,242.99560546875,242.99560546875
-15,-64,49,242.86376953125,242.86376953125
-17,-64,47,242.73193359375,242.73193359375
-18,-64,46,242.6220703125,242.6220703125
-21,-64,43,242.46826171875,242.46826171875
-26,-64,38,242.2705078125,242.2705078125
-29,-64,35,242.138671875,242.138671875
-31,-64,33,242.0068359375,242.0068359375
-36,-64,28,241.80908203125,241.80908203125
-41,-64,23,241.611328125,241.611328125
-41,-64,23,241.5234375,241.5234375
-45,-64,19,241.34765625,241.34765625
-46,-64,18,241.23779296875,241.23779296875
-51,-64,13,241.06201171875,241.06201171875
-56,-64,8,240.8642578125,240.8642578125
-52,-64,12,240.8642578125,240.8642578125
-52,-64,12,240.7763671875,240.7763671875
-53,-64,11,240.66650390625,240.66650390625
-53,-64,11,240.57861328125,240.57861328125
-55,-64,9,240.44677734375,240.44677734375
-57,-64,7,240.3369140625,240.3369140625
-56,-64,8,240.27099609375,240.27099609375
-57,-64,7,240.1611328125,240.1611328125
-57,-64,7,240.0732421875,240.0732421875
-58,-64,6,239.96337890625,239.96337890625
-56,-64,8,239.91943359375,239.91943359375
-60,-64,4,239.74365234375,239.74365234375
-63,-64,1,239.58984375,239.58984375
-63,-64,1,239.501953125,239.501953125
-64,-64,0,239.39208984375,239.39208984375
-62,-64,2,239.34814453125,239.34814453125
-63,-64,1,239.26025390625,239.26025390625
-62,-64,2,239.1943359375,239.1943359375
-60,-64,4,239.150390625,239.150390625
-57,-64,7,239.12841796875,239.12841796875
-58,-64,6,239.0185546875,239.0185546875
-58,-64,6,238.9306640625,238.9306640625
-57,-64,7,238.86474609375,238.86474609375
-61,-64,3,238.7109375,238.7109375
-58,-64,6,238.68896484375,238.68896484375
-56,-64,8,238.64501953125,238.64501953125
-59,-64,5,238.4912109375,238.4912109375
-56,-64,8,238.46923828125,238.46923828125
-58,-64,6,238.33740234375,238.33740234375
-53,-64,11,238.38134765625,238.38134765625
-58,-64,6,238.18359375,238.18359375
-56,-64,8,238.1396484375,238.1396484375
-53,-64,11,238.11767578125,238.11767578125
-51,-64,13,238.07373046875,238.07373046875
-49,-64,15,238.02978515625,238.02978515625
-48,-64,16,237.98583984375,237.98583984375
-46,-64,18,237.94189453125,237.94189453125
-44,-64,20,237.89794921875,237.89794921875
-41,-64,23,237.8759765625,237.8759765625
-38,-64,26,237.85400390625,237.85400390625
-37,-64,27,237.7880859375,237.7880859375
-35,-64,29,237.76611328125,237.76611328125
-32,-64,32,237.744140625,237.744140625
-33,-64,31,237.63427734375,237.63427734375
-34,-64,30,237.5244140625,237.5244140625
-33,-64,31,237.45849609375,237.45849609375
-32,-64,32,237.392578125,237.392578125
-33,-64,31,237.28271484375,237.28271484375
-33,-64,31,237.19482421875,237.19482421875
-31,-64,33,237.15087890625,237.15087890625
-32,-64,32,237.041015625,237.041015625
-33,-64,31,236.953125,236.953125
-34,-64,30,236.84326171875,236.84326171875
-31,-64,33,236.8212890625,236.8212890625
-37,-64,27,236.6015625,236.6015625
-40,-64,24,236.44775390625,236.44775390625
-42,-64,22,236.31591796875,236.31591796875
-44,-64,20,236.18408203125,236.18408203125
-43,-64,21,236.1181640625,236.1181640625
-50,-64,14,235.87646484375,235.87646484375
-51,-64,13,235.7666015625,235.7666015625
-51,-64,13,235.6787109375,235.6787109375
-57,-64,7,235.48095703125,235.48095703125
-60,-64,4,235.3271484375,235.3271484375
