phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-30,-64,34,329.26025390625,329.26025390625
-34,-64,30,329.1064453125,329.1064453125
-37,-64,27,328.95263671875,328.95263671875
-39,-64,25,328.82080078125,328.82080078125
-45,-64,19,328.60107421875,328.60107421875
-48,-64,16,328.447265625,328.447265625
-53,-64,11,328.24951171875,328.24951171875
-56,-64,8,328.095703125,328.095703125
-55,-64,9,328.02978515625,328.02978515625
-56,-64,8,327.94189453125,327.94189453125
-57,-64,7,327.83203125,327.83203125
-56,-64,8,327.76611328125,327.76611328125
-58,-64,6,327.63427734375,327.63427734375
-60,-64,4,327.50244140625,327.50244140625
-60,-64,4,327.41455078125,327.41455078125
-61,-64,3,327.3046875,327.3046875
-65,-64,-1,327.12890625,327.12890625
-64,-64,0,327.06298828125,327.06298828125
-62,-64,2,327.01904296875,327.01904296875
-60,-64,4,326.97509765625,326.97509765625
-61,-64,3,326.865234375,326.865234375
-64,-64,0,326.7333984375,326.7333984375
-66,-64,-2,326.6015625,326.6015625
-66,-64,-2,326.513671875,326.513671875
-65,-64,-1,326.44775390625,326.44775390625
-64,-64,0,326.3818359375,326.3818359375
-61,-64,3,326.35986328125,326.35986328125
-60,-64,4,326.2939453125,326.2939453125
-60,-64,4,326.2060546875,326.2060546875
-62,-64,2,326.07421875,326.07421875
-61,-64,3,326.00830078125,326.00830078125
-61,-64,3,325.9423828125,325.9423828125
-60,-64,4,325.87646484375,325.87646484375
-63,-64,1,325.72265625,325.72265625
-62,-64,2,325.65673828125,325.65673828125
-60,-64,4,325.61279296875,325.61279296875
-62,-64,2,325.48095703125,325.48095703125
-63,-64,1,325.39306640625,325.39306640625
-63,-64,1,325.30517578125,325.30517578125
-62,-64,2,325.2392578125,325.2392578125
-64,-64,0,325.107421875,325.107421875
-60,-64,4,325.107421875,325.107421875
-59,-64,5,325.0634765625,325.0634765625
-58,-64,6,324.99755859375,324.99755859375
-58,-64,6,324.90966796875,324.90966796875
-53,-64,11,324.931640625,324.931640625
-51,-64,13,324.8876953125,324.8876953125
-53,-64,11,324.755859375,324.755859375
-50,-64,14,324.755859375,324.755859375
-47,-64,17,324.73388671875,324.73388671875
-48,-64,16,324.6240234375,324.6240234375
-46,-64,18,324.580078125,324.580078125
-43,-64,21,324.55810546875,324.55810546875
-40,-64,24,324.5361328125,324.5361328125
-40,-64,24,324.4482421875,324.4482421875
-39,-64,25,324.38232421875,324.38232421875
-41,-64,23,324.2724609375,324.2724609375
-39,-64,25,324.228515625,324.228515625
-37,-64,27,324.1845703125,324.1845703125
-36,-64,28,324.11865234375,324.11865234375
-34,-64,30,324.07470703125,324.07470703125
-31,-64,33,324.052734375,324.052734375
-29,-64,35,324.0087890625,324.0087890625
-28,-64,36,323.96484375,323.96484375
-31,-64,33,323.81103515625,323.81103515625
-32,-64,32,323.701171875,323.701171875
-40,-64,24,323.4375,323.4375
-41,-64,23,323.32763671875,323.32763671875
-39,-64,25,323.28369140625,323.28369140625
-43,-64,21,323.10791015625,323.10791015625
-46,-64,18,322.9541015625,322.9541015625
-48,-64,16,322.822265625,322.822265625
-50,-64,14,322.71240234375,322.71240234375
-53,-64,11,322.55859375,322.55859375
-59,-64,5,322.3388671875,322.3388671875
-55,-64,9,322.3388671875,322.3388671875
-55,-64,9,322.2509765625,322.2509765625
-56,-64,8,322.14111328125,322.14111328125
-58,-64,6,322.03125,322.03125
-59,-64,5,321.92138671875,321.92138671875
-62,-64,2,321.767578125,321.767578125
-64,-64,0,321.6357421875,321.6357421875
-64,-64,0,321.5478515625,321.5478515625
-62,-64,2,321.50390625,321.50390625
-64,-64,0,321.3720703125,321.3720703125
-65,-64,-1,321.26220703125,321.26220703125
-63,-64,1,321.240234375,321.240234375
-62,-64,2,321.17431640625,321.17431640625
-59,-64,5,321.15234375,321.15234375
-64,-64,0,320.95458984375,320.95458984375
-63,-64,1,320.888671875,320.888671875
-63,-64,1,320.80078125,320.80078125
-63,-64,1,320.712890625,320.712890625
-58,-64,6,320.73486328125,320.73486328125
-60,-64,4,320.625,320.625
-59,-64,5,320.55908203125,320.55908203125
-58,-64,6,320.4931640625,320.4931640625
-57,-64,7,320.42724609375,320.42724609375
-56,-64,8,320.361328125,320.361328125
-55,-64,9,320.29541015625,320.29541015625
-56,-64,8,320.185546875,320.185546875
-57,-64,7,320.09765625,320.09765625
-62,-64,2,319.89990234375,319.89990234375
-59,-64,5,319.8779296875,319.8779296875
-60,-64,4,319.76806640625,319.76806640625
-60,-64,4,319.68017578125,319.68017578125
-64,-64,0,319.50439453125,319.50439453125
-63,-64,1,319.46044921875,319.46044921875
-59,-64,5,319.46044921875,319.46044921875
-55,-64,9,319.46044921875,319.46044921875
-55,-64,9,319.39453125,319.39453125
-56,-64,8,319.28466796875,319.28466796875
-55,-64,9,319.21875,319.21875
-55,-64,9,319.130859375,319.130859375
-57,-64,7,318.9990234375,318.9990234375
-56,-64,8,318.93310546875,318.93310546875
-57,-64,7,318.8232421875,318.8232421875
-54,-64,10,318.8232421875,318.8232421875
-50,-64,14,318.8232421875,318.8232421875
-51,-64,13,318.71337890625,318.71337890625
-48,-64,16,318.69140625,318.69140625
