phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-58,-68,10,312.34130859375,312.34130859375
-58,-68,10,312.25341796875,312.25341796875
-58,-72,14,312.16552734375,312.16552734375
-57,-72,15,312.099609375,312.099609375
-56,-72,16,312.03369140625,312.03369140625
-53,-72,19,312.01171875,312.01171875
-57,-72,15,311.8359375,311.8359375
-60,-72,12,311.68212890625,311.68212890625
-61,-72,11,311.572265625,311.572265625
-62,-72,10,311.46240234375,311.46240234375
-66,-72,6,311.30859375,311.30859375
-66,-72,6,311.220703125,311.220703125
-70,-72,2,311.044921875,311.044921875
-76,-72,-4,310.8251953125,310.8251953125
-77,-72,-5,310.71533203125,310.71533203125
-79,-72,-7,310.58349609375,310.58349609375
-78,-72,-6,310.517578125,310.517578125
-80,-72,-8,310.3857421875,310.3857421875
-84,-72,-12,310.23193359375,310.23193359375
-88,-72,-16,310.05615234375,310.05615234375
-92,-72,-20,309.88037109375,309.88037109375
-94,-72,-22,309.74853515625,309.74853515625
-99,-72,-27,309.55078125,309.55078125
-101,-72,-29,309.4189453125,309.4189453125
-104,-76,-28,309.26513671875,309.26513671875
-104,-76,-28,309.17724609375,309.17724609375
-105,-76,-29,309.0673828125,309.0673828125
-105,-76,-29,308.9794921875,308.9794921875
-105,-76,-29,308.8916015625,308.8916015625
-102,-76,-26,308.86962890625,308.86962890625
-98,-76,-22,308.86962890625,308.86962890625
-97,-76,-21,308.82568359375,308.82568359375
-96,-76,-20,308.759765625,308.759765625
-93,-76,-17,308.73779296875,308.73779296875
-96,-76,-20,308.583984375,308.583984375
-94,-76,-18,308.5400390625,308.5400390625
-93,-76,-17,308.47412109375,308.47412109375
-88,-76,-12,308.49609375,308.49609375
-85,-76,-9,308.47412109375,308.47412109375
-87,-76,-11,308.34228515625,308.34228515625
-84,-76,-8,308.3203125,308.3203125
-83,-76,-7,308.2763671875,308.2763671875
-82,-76,-6,308.21044921875,308.21044921875
-81,-76,-5,308.14453125,308.14453125
-78,-76,-2,308.12255859375,308.12255859375
-79,-76,-3,308.0126953125,308.0126953125
-76,-76,0,307.99072265625,307.99072265625
-78,-76,-2,307.880859375,307.880859375
-75,-76,1,307.85888671875,307.85888671875
-76,-76,0,307.7490234375,307.7490234375
-76,-76,0,307.6611328125,307.6611328125
-76,-76,0,307.5732421875,307.5732421875
-77,-76,-1,307.46337890625,307.46337890625
-82,-76,-6,307.28759765625,307.28759765625
-82,-76,-6,307.19970703125,307.19970703125
-81,-76,-5,307.1337890625,307.1337890625
-83,-76,-7,307.001953125,307.001953125
-83,-76,-7,306.9140625,306.9140625
-85,-76,-9,306.7822265625,306.7822265625
-84,-76,-8,306.71630859375,306.71630859375
-85,-76,-9,306.6064453125,306.6064453125
-82,-76,-6,306.6064453125,306.6064453125
-79,-76,-3,306.58447265625,306.58447265625
-77,-80,3,306.54052734375,306.54052734375
-73,-80,7,306.54052734375,306.54052734375
-71,-80,9,306.49658203125,306.49658203125
-74,-80,6,306.3427734375,306.3427734375
-71,-80,9,306.3427734375,306.3427734375
-73,-80,7,306.2109375,306.2109375
-73,-80,7,306.123046875,306.123046875
-71,-80,9,306.0791015625,306.0791015625
-68,-80,12,306.05712890625,306.05712890625
-66,-80,14,306.03515625,306.03515625
-65,-80,15,305.96923828125,305.96923828125
-64,-80,16,305.9033203125,305.9033203125
-61,-80,19,305.88134765625,305.88134765625
-61,-80,19,305.79345703125,305.79345703125
-64,-80,16,305.6396484375,305.6396484375
-65,-80,15,305.5517578125,305.5517578125
-63,-80,17,305.5078125,305.5078125
-66,-80,14,305.35400390625,305.35400390625
-66,-80,14,305.26611328125,305.26611328125
-66,-80,14,305.2001953125,305.2001953125
-69,-80,11,305.04638671875,305.04638671875
-71,-80,9,304.91455078125,304.91455078125
-71,-80,9,304.82666015625,304.82666015625
-75,-80,5,304.65087890625,304.65087890625
-76,-80,4,304.541015625,304.541015625
-80,-80,0,304.38720703125,304.38720703125
-83,-80,-3,304.2333984375,304.2333984375
-86,-80,-6,304.07958984375,304.07958984375
-89,-80,-9,303.92578125,303.92578125
-90,-80,-10,303.81591796875,303.81591796875
-90,-84,-6,303.72802734375,303.72802734375
-91,-84,-7,303.6181640625,303.6181640625
-88,-84,-4,303.59619140625,303.59619140625
-88,-84,-4,303.50830078125,303.50830078125
-88,-84,-4,303.4423828125,303.4423828125
-84,-84,0,303.4423828125,303.4423828125
-83,-84,1,303.37646484375,303.37646484375
-80,-84,4,303.3544921875,303.3544921875
-80,-84,4,303.2666015625,303.2666015625
-78,-84,6,303.22265625,303.22265625
-79,-84,5,303.11279296875,303.11279296875
-78,-84,6,303.046875,303.046875
-78,-84,6,302.98095703125,302.98095703125
-76,-84,8,302.93701171875,302.93701171875
-72,-84,12,302.93701171875,302.93701171875
-70,-84,14,302.89306640625,302.89306640625
-69,-84,15,302.8271484375,302.8271484375
-68,-84,16,302.76123046875,302.76123046875
-67,-84,17,302.71728515625,302.71728515625
-70,-84,14,302.5634765625,302.5634765625
-65,-84,19,302.58544921875,302.58544921875
-68,-84,16,302.431640625,302.431640625
-64,-84,20,302.431640625,302.431640625
-66,-84,18,302.32177734375,302.32177734375
-67,-84,17,302.2119140625,302.2119140625
-69,-84,15,302.080078125,302.080078125
-72,-84,12,301.92626953125,301.92626953125
-75,-84,9,301.7724609375,301.7724609375
-77,-84,7,301.640625,301.640625
-79,-84,5,301.5087890625,301.5087890625
-79,-84,5,301.4208984375,301.4208984375
-83,-84,1,301.26708984375,301.26708984375
-83,-84,1,301.17919921875,301.17919921875
-83,-84,1,301.09130859375,301.09130859375
-86,-84,-2,300.9375,300.9375
-85,-88,3,300.87158203125,300.87158203125
-87,-88,1,300.73974609375,300.73974609375
-81,-88,7,300.78369140625,300.78369140625
-81,-88,7,300.69580078125,300.69580078125
-77,-88,11,300.69580078125,300.69580078125
-79,-88,9,300.5859375,300.5859375
-77,-88,11,300.5419921875,300.5419921875
-74,-88,14,300.52001953125,300.52001953125
-71,-88,17,300.498046875,300.498046875
-74,-88,14,300.34423828125,300.34423828125
-72,-88,16,300.30029296875,300.30029296875
-71,-88,17,300.234375,300.234375
-69,-88,19,300.1904296875,300.1904296875
-68,-88,20,300.146484375,300.146484375
-67,-88,21,300.08056640625,300.08056640625
-68,-88,20,299.970703125,299.970703125
-67,-88,21,299.90478515625,299.90478515625
-65,-88,23,299.86083984375,299.86083984375
-63,-88,25,299.81689453125,299.81689453125
-65,-88,23,299.68505859375,299.68505859375
-62,-88,26,299.68505859375,299.68505859375
-61,-88,27,299.619140625,299.619140625
-63,-88,25,299.4873046875,299.4873046875
-65,-88,23,299.35546875,299.35546875
-67,-88,21,299.2236328125,299.2236328125
-71,-88,17,299.0478515625,299.0478515625
